Name, Wins, Losses, Weightclass
Randy Hauer,7,15,Lightweight
Gabe Lemley,13,9,N/A
Jed Deno,15,3,Lightweight
Shawn Nolan,6,46,N/A
Dan Duke,2,1,N/A
Adam Bass,8,5,Lightweight
Adam Copenhaver,8,4,N/A
Ryan Hall,7,1,Featherweight
Dennis Siver,23,11,Featherweight
Yair Rodriguez,11,2,Featherweight
Frankie Edgar,23,6,Featherweight
Rory MacDonald,20,5,Welterweight
Nick Diaz,26,9,Welterweight
Jon Fitch,31,7,Welterweight
Matt Hughes,45,9,Welterweight
Diego Sanchez,29,11,Welterweight
Kenny Florian,14,6,Featherweight
Georges St. Pierre,26,2,Welterweight
Sean Sherk,36,4,Lightweight
Joe Stevenson,33,16,Lightweight
Jens Pulver,27,19,Bantamweight
Renzo Gracie,14,7,Welterweight
Lyoto Machida,25,8,Middleweight
Rodrigo Gracie,6,2,Middleweight
Duane Ludwig,21,14,Welterweight
Takanori Gomi,36,15,Lightweight
Caol Uno,33,19,Featherweight
Matt Serra,11,7,Welterweight
Paul Creighton,3,1,Lightweight
Din Thomas,26,9,Featherweight
Joey Gilbert,2,3,Lightweight
Said Nurmagomedov,13,1,Flyweight
Raoni Barcelos,13,1,Featherweight
Ricardo Ramos,12,2,Bantamweight
Justin Scoggins,11,6,Flyweight
Luis Alberto Nogueira,21,8,Bantamweight
Anderson dos Santos,20,7,Featherweight
Abdul-Rakhman Dudaev,22,5,Bantamweight
Walter Pereira Jr.,14,4,Bantamweight
Diego Marlon,28,11,Featherweight
Magomed Bibulatov,14,2,Flyweight
German Barsegyan,3,2,Bantamweight
Magomed-Emin Hazhgeriev,3,3,Bantamweight
Aslan Toktarbaev,11,4,Bantamweight
Akhmed Sarapov,0,1,Featherweight
Jolon Uulu Jayloobay,0,1,Featherweight
Oscar Nave,12,13,Featherweight
Magomed Magomedov,16,2,Bantamweight
Chris Gutierrez,13,4,Bantamweight
Kurt Holobaugh,17,6,Featherweight
Dan Moret,13,5,Lightweight
Bobby Moffett,14,4,Featherweight
Ricky Musgrave,14,5,Featherweight
Jamal Parks,5,1,Featherweight
Mark Dickman,11,4,Bantamweight
Tyler Toner,15,7,Featherweight
Erinaldo dos Santos Rodrigues,9,7,Featherweight
Joao Herdy Jr.,8,2,Featherweight
Jorge Rodrigues Silva,38,11,Lightweight
Fabricio Batista,5,8,Bantamweight
Gilmar Silva Milhorance,3,10,Welterweight
Vitor Riso,6,3,Featherweight
