Name, Wins, Losses, Weightclass
Rose Namajunas,8,3,Strawweight
Jessica Andrade,19,6,Strawweight
Joanna Jedrzejczyk,15,3,Strawweight
Michelle Waterson,17,6,Strawweight
Karolina Kowalkiewicz,12,4,Strawweight
Tecia Torres,10,4,Strawweight
Paige VanZant,8,4,Flyweight
Angela Hill,8,6,Strawweight
Carla Esparza,13,6,Strawweight
Kathina Lowe,7,10,Flyweight
Emily Kagan,3,3,Strawweight
Randa Markos,9,6,Strawweight
Joanne Calderwood,13,3,Flyweight
Alex Chambers,5,5,Strawweight
Jen Aniano,0,3,Atomweight
Moriel Charneski,3,5,Lightweight
Heather Bassett,4,3,Flyweight
Melissa Pacheco,0,0,N/A
Karolina Kowalkiewicz,12,4,Strawweight
Tecia Torres,10,4,Strawweight
Claudia Gadelha,16,4,Strawweight
Joanna Jedrzejczyk,15,3,Strawweight
Angela Hill,8,6,Strawweight
Joanne Calderwood,13,3,Flyweight
Jessica Penne,12,5,Strawweight
Raquel Pennington,9,7,Bantamweight
Sarah Moras,5,4,Bantamweight
Marion Reneau,9,5,Bantamweight
Larissa Pacheco,11,2,Featherweight
Rosi Sexton,13,5,Bantamweight
Liz Carmouche,13,6,Flyweight
Milana Dudieva,12,8,Flyweight
Luciana dos Passos Pereira,6,5,Bantamweight
Jennifer Maia,16,5,Flyweight
Vanessa Silva,0,1,N/A
Alessandra Silva,2,12,Flyweight
Duda Yankovich,1,3,Flyweight
Juliana Silva,0,1,Featherweight
Lilian Correia,1,1,Bantamweight
Kinberly Tanaka Novaes,9,6,Strawweight
Bruna Fernandes,0,1,Flyweight
Weidy Borges,0,1,Flyweight
Jose Aldo,28,4,Featherweight
Alexander Volkanovski,19,1,Featherweight
Renato Carneiro,13,2,Featherweight
Jeremy Stephens,28,16,Featherweight
Max Holloway,20,3,Featherweight
Frankie Edgar,23,6,Featherweight
Conor McGregor,21,4,Lightweight
Chad Mendes,18,5,Featherweight
Ricardo Lamas,19,7,Featherweight
Chan Sung Jung,14,5,Featherweight
Kenny Florian,14,6,Featherweight
Mark Hominick,20,12,Featherweight
Manny Gamburyan,15,10,Bantamweight
Urijah Faber,34,10,Bantamweight
Mike Thomas Brown,26,9,Featherweight
Cub Swanson,25,10,Featherweight
Chris Mickle,30,21,Lightweight
Rolando Perez,7,5,Featherweight
Jonathan Brookins,16,10,Featherweight
Alexandre Franca Nogueira,18,6,Lightweight
Shoji Maruyama,14,10,Bantamweight
Fabio Mello,11,8,Featherweight
Thiago Meller,20,8,Lightweight
Luciano Azevedo,17,9,Lightweight
Micky Young,8,9,N/A
Phil Harris,22,12,Flyweight
Anderson Silverio,1,1,Featherweight
Aritano Silva Barbosa,6,6,Bantamweight
Luiz de Paula,0,1,Featherweight
Hudson Rocha,5,6,Featherweight
Mario Bigola,0,1,Featherweight
Chad Mendes,18,5,Featherweight
Darren Elkins,24,7,Featherweight
Jeremy Kennedy,13,1,Featherweight
Shane Young,13,4,Featherweight
Mizuto Hirota,18,10,Lightweight
Yusuke Kasuya,9,5,Lightweight
Jai Bradney,16,15,Welterweight
Jamie Mullarkey,8,2,Featherweight
Yusuke Yachi,20,8,Featherweight
James Bishop,3,2,Lightweight
David Butt,7,11,Lightweight
Kyle Reyes,13,5,Bantamweight
Rodolfo Marques,25,10,Featherweight
Greg Atzori,15,12,Lightweight
Luke Catubig,7,8,Bantamweight
Corey Nelson,18,7,Welterweight
Anton Zafir,8,4,Welterweight
Regan Wilson,5,4,Welterweight
Gerhard Voigt,6,8,Welterweight
Anderson Silva,34,9,Middleweight
Jared Cannonier,11,4,Middleweight
Israel Adesanya,16,0,Middleweight
Derek Brunson,18,7,Middleweight
Daniel Cormier,22,1,Light Heavyweight
Michael Bisping,30,9,Middleweight
Nick Diaz,26,9,Welterweight
Chris Weidman,14,4,Middleweight
Stephan Bonnar,15,9,Light Heavyweight
Chael Sonnen,30,16,Light Heavyweight
Yushin Okami,35,12,Middleweight
Vitor Belfort,26,14,Middleweight
Demian Maia,26,9,Welterweight
Forrest Griffin,19,7,Light Heavyweight
Thales Leites,28,9,Middleweight
Patrick Cote,23,11,Welterweight
James Irvin,17,10,Middleweight
Dan Henderson,32,15,Middleweight
Rich Franklin,29,7,Middleweight
Nate Marquardt,35,19,Middleweight
Travis Lutter,10,6,Middleweight
Chris Leben,22,11,Middleweight
Tony Fryklund,14,9,Lightweight
Curtis Stout,11,12,Middleweight
Jorge Rivera,20,9,Middleweight
Ryo Chonan,22,13,Welterweight
Lee Murray,8,2,Middleweight
Jeremy Horn,91,22,Middleweight
Waldir dos Anjos,3,10,Light Heavyweight
Daiju Takase,12,15,Middleweight
Carlos Newton,16,14,Middleweight
Alexander Otsuka,5,13,Light Heavyweight
Alex Stiebling,19,11,Light Heavyweight
Roan Carneiro,21,13,Welterweight
Hayato Sakurai,38,13,Welterweight
Israel Albuquerque,0,3,Middleweight
Tetsuji Kato,20,10,Lightweight
Claudionor da Silva Fontinelle,10,15,Lightweight
Jose Barreto,0,1,Middleweight
Luiz Azeredo,15,10,Welterweight
Fabricio Camoes,14,9,Lightweight
Raimundo Pinheiro,2,5,N/A
David Branch,22,6,Middleweight
Dominick Reyes,11,0,Light Heavyweight
Jan Blachowicz,23,8,Light Heavyweight
Nick Roehrick,7,1,Heavyweight
Glover Teixeira,28,7,Light Heavyweight
Ion Cutelaba,14,3,Light Heavyweight
Cyril Asker,9,4,Heavyweight
Shawn Jordan,19,9,Heavyweight
Tony Lopez,61,30,Heavyweight
Jermaine Haughton,0,1,N/A
Stephen Waalkes,11,6,N/A
Joshua Ofiu,7,3,Heavyweight
Matt Herringshaw,0,4,N/A
Jason Coomes,11,14,N/A
Alton Prince,5,20,Heavyweight
Josh Aynes,1,6,N/A
Isaac Taylor,0,0,N/A
Antonio Rogerio Nogueira,23,8,Light Heavyweight
Ryan Spann,15,5,Light Heavyweight
Sam Alvey,33,12,Light Heavyweight
Ryan Bader,27,5,Heavyweight
Patrick Cummins,10,6,Light Heavyweight
Mauricio Rua,26,11,Light Heavyweight
Anthony Johnson,22,6,Light Heavyweight
Rashad Evans,19,8,Light Heavyweight
Tito Ortiz,20,12,Light Heavyweight
Phil Davis,19,5,Light Heavyweight
Jason Brilz,22,6,Light Heavyweight
Luiz Cane,17,7,Light Heavyweight
Dion Staring,36,15,Heavyweight
Vladimir Matyushenko,27,8,Light Heavyweight
Moise Rimbon,25,12,Middleweight
Edwin Dewees,38,17,Light Heavyweight
Todd Gouwenberg,9,5,Light Heavyweight
Rameau Thierry Sokoudjou,19,18,Light Heavyweight
Alistair Overeem,44,17,Heavyweight
Dan Henderson,32,15,Middleweight
Kazuhiro Nakamura,21,13,Middleweight
Alex Stiebling,19,11,Light Heavyweight
Kazushi Sakuraba,26,17,Welterweight
Guy Mezger,30,14,Light Heavyweight
Tsuyoshi Kosaka,27,20,Heavyweight
Yusuke Imamura,2,6,Heavyweight
Jim Theobald,18,3,Light Heavyweight
Katsuhisa Fujii,9,18,Heavyweight
Luis Henrique Barbosa de Oliveira,11,5,Heavyweight
Emiliano Sordi,17,8,Light Heavyweight
Alex Nicholson,13,7,Light Heavyweight
Myron Dennis,14,7,Light Heavyweight
LeMarcus Tucker,5,3,Heavyweight
Karl Roberson,7,2,Middleweight
Roman Pizzolato,9,8,Heavyweight
Trevin Giles,11,0,Middleweight
Robert Drysdale,7,0,Light Heavyweight
Aaron Davis,8,7,Middleweight
Leo Leite,10,2,Light Heavyweight
Larry Crowe,10,7,Middleweight
Dwight Gipson,7,8,Heavyweight
Artenas Young,10,13,Welterweight
Brandon Farran,12,12,Middleweight
Randy McCarty,6,9,Light Heavyweight
Jhonoven Pati,3,3,Middleweight
Brandon Atkins,0,1,Middleweight
Steven Zamora,1,2,Heavyweight
Aaron Lebrun,0,1,N/A
Jared Perez,1,1,Welterweight
Rick Martinez,0,0,Middleweight
Celestino Barrera,0,0,Middleweight
Bryan Head,0,0,Middleweight
Clay Guida,34,18,Lightweight
B.J. Penn,16,13,Featherweight
Charles Oliveira,26,8,Lightweight
Joe Lauzon,27,15,Lightweight
Erik Koch,15,6,Lightweight
Brian Ortega,14,1,Featherweight
Thiago Tavares,22,10,Featherweight
Robbie Peralta,19,9,Featherweight
Dennis Bermudez,17,9,Featherweight
Tatsuya Kawajiri,36,13,Featherweight
Chad Mendes,18,5,Featherweight
Hatsu Hioki,29,12,Featherweight
Gray Maynard,13,7,Featherweight
Benson Henderson,26,8,Lightweight
Anthony Pettis,22,8,Lightweight
Takanori Gomi,36,15,Lightweight
Rafael dos Anjos,28,11,Welterweight
Shannon Gugerty,15,7,Featherweight
Kenny Florian,14,6,Featherweight
Diego Sanchez,29,11,Welterweight
Nate Diaz,19,11,Lightweight
Mac Danzig,22,12,Lightweight
Samy Schiavo,10,6,Bantamweight
Roger Huerta,24,11,Lightweight
Marcus Aurelio,22,10,Welterweight
Tyson Griffin,17,8,Lightweight
Din Thomas,26,9,Featherweight
Justin James,13,7,Lightweight
Joe Martin,6,8,Welterweight
Yusuke Endo,14,4,Lightweight
Gilbert Melendez,22,7,Lightweight
Josh Thomson,22,9,Lightweight
Tristan Yunker,14,9,Lightweight
Joe Jordan,49,14,Welterweight
Jeff Carstens,8,25,Middleweight
Dave Lehr Cochran,26,29,Lightweight
John Strawn,38,12,Welterweight
Jay Estrada,23,9,Welterweight
Bart Palaszewski,36,17,Featherweight
Alonzo Martinez,43,22,Lightweight
Chris Mickle,30,21,Lightweight
Alex Carter,6,29,Welterweight
Brandon Adamson,11,13,Welterweight
Bill Guardiola,0,2,N/A
Dennis Davis,15,11,Featherweight
Vito Woods,3,4,N/A
