Name, Wins, Losses, Weightclass
Al Iaquinta,14,4,Lightweight
Donald Cerrone,35,11,Welterweight
Kevin Lee,17,4,Lightweight
Khabib Nurmagomedov,27,0,Lightweight
Diego Sanchez,29,11,Welterweight
Jorge Masvidal,33,13,Welterweight
Joe Lauzon,27,15,Lightweight
Ross Pearson,20,16,Lightweight
Rodrigo Damm,12,9,Featherweight
Mitch Clarke,11,5,Lightweight
Piotr Hallmann,19,6,Lightweight
Ryan Couture,12,6,Lightweight
Michael Chiesa,15,4,Lightweight
Pat Audinwood,11,2,Lightweight
Gabriel Miglioli,9,9,Lightweight
Joshua Key,6,12,Welterweight
Tim Sylvester,2,2,Featherweight
Will Martinez,13,3,Lightweight
Mervin Rodriguez,8,10,Lightweight
Vinc Pichel,11,2,Lightweight
Andy Ogle,9,6,Featherweight
Myles Jury,17,4,Featherweight
Jon Tuck,10,5,Lightweight
Daniel Carbonel,3,4,Bantamweight
Frank Clemens,0,0,N/A
Neil Mendez,0,0,Middleweight
Alexander Hernandez,10,2,Lightweight
Mike Perry,12,4,Welterweight
Leon Edwards,17,3,Welterweight
Yancy Medeiros,15,6,Welterweight
Darren Till,17,2,Welterweight
Robbie Lawler,28,13,Welterweight
Jorge Masvidal,33,13,Welterweight
Matt Brown,21,16,Welterweight
Rick Story,21,10,Welterweight
Patrick Cote,23,11,Welterweight
Alex Oliveira,19,6,Welterweight
Rafael dos Anjos,28,11,Welterweight
John Makdessi,17,6,Lightweight
Benson Henderson,26,8,Lightweight
Myles Jury,17,4,Featherweight
Eddie Alvarez,29,7,Lightweight
Jim Miller,29,13,Lightweight
Edson Barboza,20,7,Lightweight
Adriano Martins,28,10,Lightweight
Evan Dunham,18,8,Lightweight
K.J. Noons,13,9,Welterweight
Anthony Pettis,22,8,Lightweight
Melvin Guillard,32,21,Welterweight
Jeremy Stephens,28,16,Featherweight
Nate Diaz,19,11,Lightweight
Dennis Siver,23,11,Featherweight
Charles Oliveira,26,8,Lightweight
Vagner Rocha,14,4,Lightweight
Paul Kelly,14,5,Welterweight
Chris Horodecki,21,7,Featherweight
Jamie Varner,21,11,Lightweight
Ed Ratcliff,7,3,Lightweight
James Krause,26,7,Lightweight
Rob McCullough,19,8,Lightweight
Danny Castillo,17,10,Lightweight
Kenneth Alexander,7,6,Lightweight
Yasunori Kanehara,3,5,Lightweight
Anthony Njokuani,16,12,Lightweight
Ryan Roberts,21,12,Featherweight
Jesse Brock,23,9,Bantamweight
Craig Tennant,0,1,N/A
Cruz Chacon,13,18,Light Heavyweight
Nate Mohr,9,7,Lightweight
Derek Brunson,18,7,Middleweight
Elias Theodorou,16,2,Middleweight
Israel Adesanya,16,0,Middleweight
Ronaldo Souza,26,6,Middleweight
Lyoto Machida,25,8,Middleweight
Daniel Kelly,13,4,Middleweight
Anderson Silva,34,9,Middleweight
Robert Whittaker,20,4,Middleweight
Uriah Hall,14,9,Middleweight
Roan Carneiro,21,13,Welterweight
Sam Alvey,33,12,Light Heavyweight
Ed Herman,23,14,Light Heavyweight
Lorenz Larkin,20,7,Welterweight
Yoel Romero,13,3,Middleweight
Brian Houston,4,6,Middleweight
Chris Leben,22,11,Middleweight
Kendall Grove,23,18,Middleweight
Nate James,14,8,Middleweight
Lumumba Sayers,6,5,Middleweight
Jeremy Hamilton,9,2,Welterweight
Danny Babcock,9,6,Light Heavyweight
Rhomez Brower,11,13,Welterweight
Todd Chattelle,12,12,Middleweight
Edward Jackson,0,1,Light Heavyweight
Chris McNally,5,5,Light Heavyweight
John Bryant,2,7,Middleweight
Shawn Tavares,0,0,Middleweight
Steve Bontatibus,0,0,Middleweight
Eryk Anders,11,3,Middleweight
Trevor Smith,15,9,Middleweight
Daniel Kelly,13,4,Middleweight
Brad Tavares,17,5,Middleweight
Cezar Ferreira,13,7,Middleweight
Sam Alvey,33,12,Light Heavyweight
Thiago Santos,21,6,Middleweight
Roger Narvaez,8,3,Middleweight
Bruno Santos,18,2,Middleweight
Sheldon Westcott,9,3,Welterweight
Travis Clark,7,3,Light Heavyweight
Mike Kent,11,8,Light Heavyweight
Ali Mokdad,6,4,Middleweight
Simon Marini,9,6,Middleweight
Rich Lictawa,2,3,Light Heavyweight
Erik Herbert,9,2,Middleweight
Steve Hodgson,1,2,Middleweight
Tanner Tolman,2,1,Middleweight
Alexey Oleynik,57,11,Heavyweight
Walt Harris,12,7,Heavyweight
Mark Hunt,13,14,Heavyweight
Junior Albini,14,5,Heavyweight
Curtis Blaydes,11,2,Heavyweight
Travis Browne,18,7,Heavyweight
Viktor Pesta,13,5,Heavyweight
Daniel Omielanczuk,21,9,Heavyweight
Jared Rosholt,17,6,Heavyweight
Anthony Hamilton,16,9,Heavyweight
Mirko Filipovic,38,11,Heavyweight
Dion Staring,36,15,Heavyweight
Jeff Monson,60,26,Heavyweight
Tony Lopez,61,30,Heavyweight
Leo Pla,12,6,Light Heavyweight
Martin Hudey,0,1,Heavyweight
Mike Stewart,9,6,Middleweight
Jerry Otto,2,6,Super Heavyweight
Sergey Terezimov,8,5,N/A
Magomed Malikov,7,3,Heavyweight
Ernest Kostanyan,0,1,N/A
Neil Grove,12,8,Heavyweight
Mike Hayes,20,12,Heavyweight
Michal Kita,18,10,Heavyweight
Thiago      Santos,12,5,Heavyweight
Eddy Bengtsson,6,4,Heavyweight
Rogent Lloret,11,4,Heavyweight
Sang Soo Lee,18,13,Light Heavyweight
Jessie Gibbs,10,6,Heavyweight
Islam Dadalov,10,5,N/A
Abdulkhalik Magomedov,0,5,Heavyweight
Telman Sherifov,4,5,N/A
Oleg Kutepov,3,7,Light Heavyweight
Magomedbag Agaev,28,21,Heavyweight
Konstantyn Stryzhak,3,3,N/A
Makasharip Makasharipov,2,3,N/A
Alexander Timonov,2,2,N/A
Daniel Dowda,6,4,Middleweight
Chris Tuchscherer,21,4,Heavyweight
Sherman Pendergarst,11,18,Light Heavyweight
Gela Getsadze,5,21,N/A
Ishkhan Zakharian,6,16,Middleweight
Andrey Oleinik,0,1,N/A
Timur Gasanov,4,3,N/A
Alavutdin Gadjiev,18,13,Middleweight
Adlan Amagov,14,2,Welterweight
Krzysztof Kulak,31,16,Middleweight
Karol Bedorf,15,4,Heavyweight
Lukasz Wos,1,3,Light Heavyweight
Shamil Nurmagomedov,19,3,Light Heavyweight
Chael Sonnen,30,16,Light Heavyweight
Vladimir Rudakov,1,2,N/A
Magomed Sultanakhmedov,18,6,Middleweight
Shavkat Urakov,0,3,N/A
Flavio Luiz Moura,19,7,N/A
Marcelo Alfaya,18,10,Welterweight
Azred Telkusheev,4,2,N/A
Ubaidula Chopolaev,1,3,N/A
Ramin Tagiev,1,6,Middleweight
Igor Bondarenko,1,2,N/A
Gennadiy Matsigora,0,4,Light Heavyweight
Vladimir Malyshev,0,1,N/A
Clarence Thatch,0,1,N/A
Leonid Efremov,4,2,N/A
Igor Akinin,0,1,N/A
Artem Kondratko,0,1,Middleweight
Sergey Zalikhvatko,0,1,Middleweight
Alexandr Kruglenko,0,1,Middleweight
Andrei Arlovski,27,18,Heavyweight
Daniel Spitz,6,2,Heavyweight
Mark Godbeer,13,4,Heavyweight
Fabricio Werdum,23,8,Heavyweight
Cyril Asker,9,4,Heavyweight
Chase Sherman,12,6,Heavyweight
Shamil Abdurakhimov,19,4,Heavyweight
Cody East,13,4,Heavyweight
Soa Palelei,22,5,Heavyweight
D.J. Linderman,21,15,Heavyweight
Nikita Krylov,24,6,Light Heavyweight
Jared Rosholt,17,6,Heavyweight
Tony Melton,7,6,Heavyweight
Josh  Robertson,3,3,Heavyweight
Anthony Hamilton,16,9,Heavyweight
Cedric James,0,7,Super Heavyweight
Wes Little,4,8,Heavyweight
Chris Barnett,17,6,Super Heavyweight
Justin Thornton,6,12,Heavyweight
Zach Preston,0,0,Heavyweight
Brad Katona,8,0,Bantamweight
Merab Dvalishvili,8,4,Bantamweight
Matthew Lopez,10,4,Bantamweight
Jay Cucciniello,8,1,Featherweight
Stephen Cervantes,7,5,Featherweight
Austin Ryan,6,1,Flyweight
Patrick Ward,2,1,Bantamweight
Josh Rich,3,3,Lightweight
Myles Anderson,0,4,Lightweight
Michael Hay,5,2,Bantamweight
Bryce Mitchell,11,0,Featherweight
Kyler Phillips,6,1,Bantamweight
Wesley Bowman,0,3,Bantamweight
Zach Kellso,0,13,Featherweight
Derek Desart,0,0,Featherweight
Terrion Ware,17,9,Bantamweight
Ricky Simon,15,1,Bantamweight
Frankie Saenz,13,6,Bantamweight
Raufeon Stots,11,1,Bantamweight
Sukhrob Aydarbekov,5,4,Bantamweight
Tony Gravely,16,5,Bantamweight
Paul Grant,3,4,Bantamweight
Matt Tullos,1,1,Featherweight
Geoffrey Then,1,2,Bantamweight
Ricky Bandejas,11,2,Bantamweight
Dennis Dombrow,8,5,Bantamweight
Darren Mima,10,7,Flyweight
Aiemann Zahabi,7,1,Bantamweight
Vince Morales,8,3,Bantamweight
Ricardo Ramos,12,2,Bantamweight
Reginaldo Vieira,13,6,Bantamweight
Kyle Oliveira,3,2,Flyweight
Jeremy Dichiara,3,1,Bantamweight
Scott Farhat,7,12,Bantamweight
Wesley Bowman,0,3,Bantamweight
Phillip Deschambeault,4,9,Featherweight
Kyle Vivian,0,8,Featherweight
Yadong Song,13,3,Featherweight
Justin Williams-Hugo,3,5,Bantamweight
Domingo Pilarte,8,1,Bantamweight
Brandon Hempleman,10,4,Bantamweight
Rowdy Akers,4,4,Lightweight
Andrew Cruz,4,2,Featherweight
Hamilton Ash,4,4,Lightweight
Patrick Trey Smith,0,1,Featherweight
Josh Wick,9,4,Featherweight
Jeremie Montgomery,3,2,Featherweight
Joseph Cleveland,4,3,N/A
Leon Taylor,0,1,Featherweight
Andrew Sanchez,10,4,Middleweight
Marc-Andre Barriault,11,1,Middleweight
Markus Perez,11,2,Middleweight
Ryan Janes,10,3,Middleweight
Anthony Smith,31,14,Light Heavyweight
Trevor Smith,15,9,Middleweight
Khalil Rountree,7,3,Light Heavyweight
John Poppie,8,5,Middleweight
Clinton Williams,7,4,Middleweight
Kevin Casey,9,6,Middleweight
Miles Marshall,3,3,Light Heavyweight
Todd Meredith,4,3,Middleweight
Dustin Jacoby,10,5,Middleweight
Thomas Jones,0,3,Welterweight
Darryl Cobb,6,8,Middleweight
Ed Smith,5,10,Welterweight
Eric Spicely,10,4,Middleweight
Myron Dennis,14,7,Light Heavyweight
Adam Hunter,7,2,Middleweight
Brendan Kornberger,9,4,Middleweight
Strahinja Gavrilovic,7,5,Light Heavyweight
Todd Stoute,9,4,Light Heavyweight
Jonathan Vallee,7,3,Middleweight
Yacine Bandoui,9,6,Welterweight
Martin  Leblanc,1,1,Middleweight
James Kouame,3,10,Middleweight
Paul Cressaty,0,3,Middleweight
Nordine Taleb,14,6,Welterweight
Siyar Bahadurzada,24,7,Welterweight
Sean Strickland,20,3,Welterweight
Claudio Henrique da Silva,13,1,Welterweight
Danny Roberts,16,4,Welterweight
Oliver Enkamp,7,2,Welterweight
Santiago Ponzinibbio,27,3,Welterweight
Erick Silva,20,10,Welterweight
Warlley Alves,12,3,Welterweight
Chris Clements,12,6,Welterweight
Jingliang Li,16,5,Welterweight
Vik Grujic,6,6,Welterweight
Marius Zaromskis,20,9,Welterweight
Matt MacGrath,18,10,Welterweight
Matt Secor,10,5,Middleweight
Pete Sell,10,7,Middleweight
Szymon Boniecki,2,2,Welterweight
John Salgado,4,8,Welterweight
Chad Cox,5,3,Middleweight
Dean Martins,2,5,Light Heavyweight
Guillaume DeLorenzi,10,2,Welterweight
Louis-Philippe Carle,8,2,Welterweight
Mike King,5,1,Middleweight
Curtis Millender,17,4,Welterweight
Luan Chagas,15,3,Welterweight
Rob Wilkinson,11,2,Middleweight
Brandon Thatch,11,5,Welterweight
John Howard,27,14,Welterweight
Dong Hyun Kim,22,4,Welterweight
Paulo Thiago,18,10,Welterweight
Tommy Depret,13,5,Welterweight
John Alessio,35,17,Lightweight
Derrick Noble,27,15,Welterweight
Carlos Alexandre Pereira,33,12,Welterweight
Robert Jocz,21,8,Middleweight
Leandro    Silva,23,8,Welterweight
Jorge Santiago,25,12,Welterweight
Evangelista Santos,21,18,Welterweight
Kazuo Misaki,25,11,Welterweight
Nathan Schouteren,16,13,Middleweight
Shiko Yamashita,10,5,Welterweight
Kurt Verschueren,6,10,Middleweight
Rody Trost,3,2,N/A
Rolandas Agrba,4,3,N/A
Dennis de Rus,2,2,N/A
Alexander Penao,0,1,N/A
Stefan Klever,6,1,N/A
Patrick Vallee,11,11,Middleweight
Arschak Dahabagian,0,3,N/A
Sebastiaan Rijtslag,2,11,Middleweight
Dennis van Asselt,0,3,N/A
Hubert Veenendaal,1,3,Middleweight
Mingoes Pelupessy,0,3,N/A
Marc Lange,1,5,Middleweight
Juan Adams,5,0,Heavyweight
Arjan Singh Bhullar,8,1,Heavyweight
Chris de la Rocha,5,3,Heavyweight
Shawn Teed,5,2,Heavyweight
Dwight Gipson,7,8,Heavyweight
Brice Ritani-Coe,4,5,Light Heavyweight
Chris Rose,0,4,Heavyweight
Jordan Zendejas,0,0,Light Heavyweight
Marcelo Golm,6,2,Heavyweight
Adam Wieczorek,10,2,Heavyweight
Luis Henrique Barbosa de Oliveira,11,5,Heavyweight
Joe Yager,11,6,Heavyweight
Chris Catala,3,4,Light Heavyweight
Ryan Pokryfky,5,5,Heavyweight
Blake Nash,3,4,Heavyweight
Jon-Taine Hall,0,1,Heavyweight
Adam Santos,1,1,Heavyweight
Josh Morgan,0,0,Light Heavyweight
Mitch Gagnon,12,4,Bantamweight
Brian Kelleher,19,10,Bantamweight
Matthew Lopez,10,4,Bantamweight
Renan Barao,34,8,Bantamweight
Roman Salazar,12,8,Bantamweight
Tim Gorman,9,4,Bantamweight
Dustin Kimura,11,3,Bantamweight
Walel Watson,14,12,Bantamweight
Bryan Caraway,21,9,Bantamweight
David Harris,7,10,Bantamweight
Rejean Groulx,5,1,N/A
Guillaume Lamarche,7,6,Featherweight
Stephane Bernadel,8,4,Featherweight
Jeff Harrison,5,5,Featherweight
Eugenio Carpine,3,4,N/A
Will Romero,11,6,Featherweight
Gabriel Lavallee,1,3,N/A
Dimitri Waardenburg,13,9,Bantamweight
Montel Jackson,7,1,Bantamweight
John Lineker,31,8,Bantamweight
Renan Barao,34,8,Bantamweight
Damian Stasiak,10,6,Bantamweight
Marlon Vera,13,5,Bantamweight
Iuri Alcantara,35,10,Bantamweight
Julio Arce,15,3,Featherweight
Josh Robinson,12,12,Flyweight
Jay Haas,15,18,Featherweight
Andre Soukhamthath,13,6,Bantamweight
Mark Cherico,11,2,Featherweight
Andy Main,12,4,Featherweight
Lester Caslow,15,10,Featherweight
Jeff Smith,11,2,Lightweight
Scott Heckman,27,9,Featherweight
Jimmie Rivera,22,3,Bantamweight
Tyler Kahihikolo,8,19,Featherweight
Bill Jones,12,11,Featherweight
Ryan Vaccaro,6,4,Featherweight
Raphael Chaves,3,1,Featherweight
Josh Parker,6,9,Lightweight
Artur Rofi,7,1,Featherweight
Claudio Ledesma,15,7,Flyweight
Michael LaDuke,2,3,Bantamweight
Manny Millan,2,5,Featherweight
Siyam Yousefi,2,2,Bantamweight
Nate Ainsworth,0,3,Featherweight
Dan Cion,4,3,Featherweight
Samad Mobley,0,2,Bantamweight
Mark Carrow,0,0,Lightweight
Jordan Litz,0,0,N/A
Sarah Moras,5,4,Bantamweight
Leah Letson,5,1,Featherweight
Talita Bernardo,6,3,Bantamweight
Lucie Pudilova,8,4,Bantamweight
Ashlee Evans-Smith,6,4,Bantamweight
Jessica Andrade,19,6,Strawweight
Alexis Dufresne,6,3,Lightweight
Christina Barry,0,3,Featherweight
Raquel Pennington,9,7,Bantamweight
Julianna Pena,8,3,Bantamweight
Helena Martin,0,4,Bantamweight
