Name, Wins, Losses, Weightclass
Peggy Morgan,4,4,Featherweight
Tara LaRosa,22,5,Flyweight
Clarissa Thompson,0,0,Featherweight
Amber Grant,0,0,Bantamweight
Theresa Doerksen,1,0,Bantamweight
Julija Stoliarenko,5,3,Bantamweight
Elizabeth Phillips,6,6,Bantamweight
Sarah Payant,1,4,Flyweight
Allanna Jones,2,8,Welterweight
Shaena Cox,0,2,Flyweight
Christina Jobe,2,1,Bantamweight
Amanda Rose-Wyatt,0,0,Featherweight
Moriel Charneski,3,5,Lightweight
Alex Marks,0,0,Featherweight
Staicee Karppinen,0,0,N/A
Kyle Nelson,12,2,Lightweight
Matt Sayles,7,2,Featherweight
Carlos Diego Ferreira,15,2,Lightweight
Morteza Rezaei,4,2,Lightweight
Khama Worthy,11,6,Lightweight
Gabriel Manuca,3,1,Lightweight
Jonathan Brookins,16,10,Featherweight
Zoltan Turai,3,7,Featherweight
Justin Bourgeois,7,6,Featherweight
Adrian Hadribeaj,7,1,Lightweight
Ainsley Robinson,5,3,Featherweight
Alexander Halkias,4,2,Featherweight
Neelan Hordatt-Reece,4,1,Lightweight
Maxime Dubois,5,3,Bantamweight
Jo Petahtegoose,2,4,Lightweight
Michael Dufort,6,3,Welterweight
Travis Peterson,0,0,Welterweight
Sheymon Moraes,11,3,Featherweight
Yazan Hajeh,6,1,Featherweight
Christian Aguilera,11,6,Welterweight
George Hickman,9,3,Featherweight
Ryan Lang,5,2,Featherweight
DeMarcus Brown,6,8,Featherweight
Bryson Hansen,8,2,Bantamweight
Dylan Stanfield,0,1,Featherweight
Chris Floyd,1,5,Bantamweight
Mike Willis,1,1,Bantamweight
Beau Hart,0,0,Lightweight
Dominick Griffen,0,0,Lightweight
Cub Swanson,25,10,Featherweight
Shane Burgos,11,1,Featherweight
Renato Carneiro,13,2,Featherweight
Frankie Edgar,23,6,Featherweight
Brian Ortega,14,1,Featherweight
Artem Lobov,13,15,Featherweight
Doo Ho Choi,14,3,Featherweight
Tatsuya Kawajiri,36,13,Featherweight
Hacran Dias,25,6,Lightweight
Max Holloway,20,3,Featherweight
Jeremy Stephens,28,16,Featherweight
Dennis Siver,23,11,Featherweight
Dustin Poirier,24,5,Lightweight
Charles Oliveira,26,8,Lightweight
Ross Pearson,20,16,Lightweight
George Roop,15,13,Bantamweight
Ricardo Lamas,19,7,Featherweight
Mackens Semerzier,8,4,Featherweight
Chad Mendes,18,5,Featherweight
John Franchi,6,2,Featherweight
Jose Aldo,28,4,Featherweight
Hiroyuki Takaya,23,14,Featherweight
Donny Walker,15,10,Featherweight
Jens Pulver,27,19,Bantamweight
Micah Miller,20,9,Featherweight
Tommy Lee,25,6,Featherweight
Chuck Kim,6,7,Lightweight
Charlie Valencia,12,7,Bantamweight
Richard Montano,11,10,Featherweight
Shannon Gugerty,15,7,Featherweight
Fernando Arreola,4,7,N/A
Mike Corey,13,3,Featherweight
Armando Sanchez,10,7,Featherweight
Martin Bautista,6,10,Featherweight
Joe Morales,0,2,N/A
Kurt Holobaugh,17,6,Featherweight
Calvin Kattar,19,3,Featherweight
Godofredo Castro,14,6,Featherweight
Charles Rosa,11,3,Featherweight
Tiago dos Santos e Silva,20,8,Lightweight
Jacob Bohn,7,5,Lightweight
Terrell Hobbs,9,11,Lightweight
Bill Algeo,11,3,Featherweight
Donald Ooton,5,2,Featherweight
Myron Baker,6,9,Featherweight
Ashure Elbanna,1,4,Featherweight
Ratioender Melo,5,5,Featherweight
Aldo Oranvil,0,0,Featherweight
Ricky Bandejas,11,2,Bantamweight
RJ Starace,0,0,Featherweight
Mark Fileccia,0,0,N/A
Jason Aronica,0,0,Featherweight
Gary Roberts Jr.,0,0,Featherweight
