Name, Wins, Losses, Weightclass
Tim Kennedy,18,6,Middleweight
Dominic Brown,16,23,Light Heavyweight
Terry Martin,23,11,Middleweight
Cole Jennet,5,3,N/A
Leo Pla,12,6,Light Heavyweight
Danny Anderson,20,9,Middleweight
Jason Broom,0,6,Light Heavyweight
Victor Moreno,40,24,Welterweight
James Bunch,2,5,Middleweight
Ron Jackson,3,8,Light Heavyweight
Dylan Andrews,18,8,Middleweight
Nik Fekete,7,1,Light Heavyweight
David George,0,0,Middleweight
Antonio Braga Neto,9,3,Middleweight
James Bochnovic,9,4,Middleweight
Ryan Spann,15,5,Light Heavyweight
Isaac Villanueva,13,9,Light Heavyweight
Josh Clark,10,5,Middleweight
Robert McCarthy,4,8,Middleweight
Brendan Allen,11,3,Middleweight
Larry Crowe,10,7,Middleweight
Terrance Ferguson,2,3,Middleweight
Patrick Hutton,5,12,Middleweight
Angelus Raymond McFarlane,0,2,Middleweight
Eric Thompson,0,0,Middleweight
Calvin Cooper,0,0,Heavyweight
Grant Dawson,13,1,Featherweight
Michael Trizano,8,0,Lightweight
Julian Erosa,22,7,Lightweight
Adrian Diaz,11,7,Featherweight
Mike Plazola,13,10,Lightweight
Christian Camp,5,8,Featherweight
Hugh Pulley,7,3,Welterweight
Robert Washington,19,11,Lightweight
Bryce Logan,9,3,Lightweight
Andrew Carrillo,6,6,Featherweight
Danny Tims,10,5,Bantamweight
Chris McDaniel,18,18,Lightweight
James Smith,2,10,Featherweight
Adam Rider,3,4,Featherweight
Matt Williams,6,6,Welterweight
Jeremiah Denson,2,2,Lightweight
Nate Maas,0,0,Lightweight
Reynold Reed,0,0,Welterweight
Daryl Holthus,0,0,Lightweight
Eric Mecham,0,0,Lightweight
Justin Weaver,0,0,Lightweight
Luis Pena,6,1,Lightweight
Joe Giannetti,6,1,Lightweight
Mike Otwell,4,3,Featherweight
James Gonzalez,4,3,Featherweight
Eddie Lenoci,4,3,Lightweight
Tim Kunkel,2,3,Lightweight
Raul Gonzales,0,1,Welterweight
John Gunther,5,1,Lightweight
Thai Clark,7,0,Lightweight
Kevin Perez,0,1,Lightweight
Phil Caracappa,6,0,Bantamweight
Cesar Balmaceda,5,0,Lightweight
Steve Barnabei,0,0,Lightweight
Gio Sanfratello,0,0,Lightweight
Patrick Cummins,10,6,Light Heavyweight
Ed Herman,23,14,Light Heavyweight
Misha Cirkunov,14,5,Light Heavyweight
Corey Anderson,12,4,Light Heavyweight
Gian Villante,17,11,Light Heavyweight
Jan Blachowicz,23,8,Light Heavyweight
Antonio Rogerio Nogueira,23,8,Light Heavyweight
Glover Teixeira,28,7,Light Heavyweight
Rafael Cavalcante,13,7,Light Heavyweight
Ovince St. Preux,23,12,Light Heavyweight
Antonio Carlos Jr.,10,2,Middleweight
Kyle Kingsbury,11,6,Light Heavyweight
Roger Narvaez,8,3,Middleweight
Daniel Cormier,22,1,Light Heavyweight
Willie Smalls,5,15,Light Heavyweight
Ricky Pulu,0,6,Welterweight
Tasi Edwards,2,1,Heavyweight
Terrell Brown,3,1,Heavyweight
Gian Villante,17,11,Light Heavyweight
C.B. Dollaway,17,9,Middleweight
Nikita Krylov,24,6,Light Heavyweight
Tim Boetsch,21,13,Middleweight
Derek Brunson,18,7,Middleweight
Rafael Natal,21,9,Middleweight
Thales Leites,28,9,Middleweight
Trevor Smith,15,9,Middleweight
Ronaldo Souza,26,6,Middleweight
Jake Shields,33,11,Welterweight
Clifford Starks,14,5,Middleweight
Kyle Noke,22,10,Welterweight
Tim Credeur,12,4,Middleweight
Aaron Simpson,12,5,Welterweight
David Loiseau,23,11,Light Heavyweight
Alan Belcher,18,8,Middleweight
Demian Maia,26,9,Welterweight
Joe Doerksen,51,16,Middleweight
Scott Smith,18,11,Middleweight
Chris Price,19,4,Light Heavyweight
Jason MacDonald,25,16,Middleweight
Kendall Grove,23,18,Middleweight
Dave Menne,45,17,Middleweight
Nick Thompson,38,14,Welterweight
Rhomez Brower,11,13,Welterweight
Glover Teixeira,28,7,Light Heavyweight
Brian Ebersole,51,18,Welterweight
Kazuo Misaki,25,11,Welterweight
Shane Davis,4,2,Middleweight
Cory Devela,16,7,Middleweight
Jacen Flynn,10,3,Light Heavyweight
Justin Hawes,7,8,Light Heavyweight
Derek Downey,11,4,Middleweight
Rich Guerin,13,10,N/A
Ryan Pope,7,13,Heavyweight
Rory Singer,11,9,Middleweight
Danny Abbadi,4,6,Middleweight
Nick Frazier,0,0,N/A
Jessi  Ward,0,0,N/A
Andrew Taylor,2,0,N/A
Byron Yates,1,1,N/A
Noel Tworek,0,0,Middleweight
Aspen Ladd,7,0,Bantamweight
Sijara Eubanks,4,2,Flyweight
Tonya Evinger,19,7,Bantamweight
Lina Lansberg,8,4,Bantamweight
Sijara Eubanks,4,2,Flyweight
Jessica Hoy,1,1,Bantamweight
Kelly McGill-Velasco,2,2,Bantamweight
Amanda Bobby Cooper,3,5,Strawweight
Ana Carolina Vidal,0,1,Flyweight
Cynthia Calvillo,8,1,Flyweight
Madeline Simmons Kidder,0,0,Strawweight
Leslie Rodriguez,0,2,Featherweight
Roxanne Modafferi,22,15,Flyweight
Lauren Murphy,10,4,Flyweight
Aspen Ladd,7,0,Bantamweight
AmberLynn Orr,1,2,Bantamweight
Katlyn Chookagian,11,2,Flyweight
Gina Begley,1,2,Flyweight
DeAnna Bennett,10,4,Bantamweight
Maia Kahaunaele-Stevenson,6,5,Strawweight
Alexa Conners,5,3,Bantamweight
