Name, Wins, Losses, Weightclass
Jordan Williams,8,2,Middleweight
Adam Corrigan,2,2,N/A
Sergio Vasquez,4,3,Welterweight
Eddie Saldana,4,3,Middleweight
Erik Purcell,2,6,Light Heavyweight
Chase Owens,4,5,Middleweight
Jason Ward,3,6,Middleweight
Dan Girace,0,0,Light Heavyweight
James Contrino,0,0,Middleweight
Anthony Wilson,0,0,Middleweight
Ovince St. Preux,23,12,Light Heavyweight
Nikita Krylov,24,6,Light Heavyweight
Dominick Reyes,11,0,Light Heavyweight
Tyson Pedro,7,3,Light Heavyweight
Ilir Latifi,14,6,Light Heavyweight
Corey Anderson,12,4,Light Heavyweight
Yushin Okami,35,12,Middleweight
Marcos Rogerio de Lima,16,6,Heavyweight
Volkan Oezdemir,15,4,Light Heavyweight
Jimi Manuwa,17,5,Light Heavyweight
Jon Jones,24,1,Light Heavyweight
Rafael Cavalcante,13,7,Light Heavyweight
Glover Teixeira,28,7,Light Heavyweight
Patrick Cummins,10,6,Light Heavyweight
Mauricio Rua,26,11,Light Heavyweight
Ryan Bader,27,5,Heavyweight
Ryan Jimmo,19,5,Light Heavyweight
Nikita Krylov,24,6,Light Heavyweight
Cody Donovan,8,5,Light Heavyweight
Gian Villante,17,11,Light Heavyweight
T.J. Cook,13,5,Light Heavyweight
Gegard Mousasi,45,6,Middleweight
Joe Cason,9,1,Heavyweight
Ron Humphrey,7,3,Light Heavyweight
Benji Radach,21,7,Middleweight
Antwain Britt,11,6,Middleweight
Jason Day,19,12,Middleweight
Claudio Cunha Godoy,8,8,Light Heavyweight
Chris Hawk,5,10,Light Heavyweight
Brett Chism,16,12,Middleweight
Virgil Zwicker,16,9,Heavyweight
Nik Fekete,7,1,Light Heavyweight
Jonathan Smith,0,3,Light Heavyweight
Ombey Mobley,0,1,N/A
Robert Turner,8,8,Middleweight
Ray Lizama,7,6,Welterweight
Rodney Wallace,26,16,Light Heavyweight
Todd Smart,0,0,Light Heavyweight
Mike Cormier,2,1,Light Heavyweight
Jan Blachowicz,23,8,Light Heavyweight
Fabio Maldonado,25,13,Heavyweight
Emanuel Newton,26,13,Light Heavyweight
Maro Perak,26,8,Light Heavyweight
