Name, Wins, Losses, Weightclass
Alexander Volkov,30,7,Heavyweight
Alistair Overeem,44,17,Heavyweight
Derrick Lewis,21,7,Heavyweight
Fabricio Werdum,23,8,Heavyweight
Stefan Struve,29,11,Heavyweight
Roy Nelson,23,17,Heavyweight
Timothy Johnson,12,5,Heavyweight
Attila Vegh,32,8,Light Heavyweight
Denis Smoldarev,13,5,Heavyweight
Cheick Kongo,30,10,Heavyweight
Tony Johnson,13,4,Heavyweight
Alexei Kudin,24,11,Heavyweight
Roy Boughton,14,8,Heavyweight
Blagoy Ivanov,17,2,Heavyweight
Siala-Mou Siliga,12,6,Heavyweight
Mark Holata,12,5,Heavyweight
Vitaly Minakov,21,1,Heavyweight
Rich Hale,21,7,Heavyweight
Vinicius Kappke de Queiroz,8,4,Heavyweight
Brett Rogers,17,10,Heavyweight
Stefan Stankovic,2,8,Heavyweight
Ricco Rodriguez,54,27,Heavyweight
Arsen Abdulkerimov,8,2,Heavyweight
Bakhodir Ibragimov,3,1,N/A
Nedyalko Karadjov,7,2,N/A
Denis Goltsov,22,5,Heavyweight
Ruslan Chapko,1,9,Light Heavyweight
Pat Bennett,4,3,Heavyweight
Evgeni Babich,2,6,N/A
Eldar Yagudin,0,1,N/A
Maxim Grishin,28,7,Light Heavyweight
Alexander Romaschenko,5,4,N/A
Vitalii Yalovenko,7,8,N/A
Ibragim Magomedov,22,8,Heavyweight
Smbat Zakaryan,0,2,N/A
Abdulkhalik Magomedov,0,5,Heavyweight
Akhmed Sultanov,13,5,Heavyweight
Adam Alikhanov,0,2,N/A
Nikolay Pleshakov,0,1,N/A
Sergei Pavlovich,12,1,Heavyweight
Curtis Blaydes,11,2,Heavyweight
Francis Ngannou,13,3,Heavyweight
Fabricio Werdum,23,8,Heavyweight
Mark Hunt,13,14,Heavyweight
Stipe Miocic,18,3,Heavyweight
Andrei Arlovski,27,18,Heavyweight
Junior dos Santos,21,5,Heavyweight
Roy Nelson,23,17,Heavyweight
Stefan Struve,29,11,Heavyweight
Ben Rothwell,36,11,Heavyweight
Frank Mir,18,13,Heavyweight
Travis Browne,18,7,Heavyweight
Antonio Silva,19,12,Heavyweight
Brock Lesnar,5,3,Heavyweight
Todd Duffee,9,3,Heavyweight
Brett Rogers,17,10,Heavyweight
Kazuyuki Fujita,18,14,Heavyweight
James Thompson,20,17,Heavyweight
Tony Sylvester,11,4,Heavyweight
Gary Goodridge,23,22,Heavyweight
Mirko Filipovic,38,11,Heavyweight
Tae Hyun Lee,1,2,N/A
Paul Buentello,35,17,Light Heavyweight
Sergei Kharitonov,28,6,Heavyweight
Michael Knaap,18,22,Heavyweight
Mauricio Rua,26,11,Light Heavyweight
Ricardo Arona,14,5,Light Heavyweight
Antonio Rogerio Nogueira,23,8,Light Heavyweight
Vitor Belfort,26,14,Middleweight
Nikolajus Cilkinas,2,6,Light Heavyweight
Igor Vovchanchyn,55,10,Light Heavyweight
Hiromitsu Kanehara,19,27,Middleweight
Rodney Glunder,25,20,Light Heavyweight
Tomohiko Hashimoto,1,4,Heavyweight
Chuck Liddell,21,9,Light Heavyweight
Mike Bencic,1,2,Heavyweight
Aaron Brink,28,26,Light Heavyweight
Bozigit Ataev,19,3,Heavyweight
Dave Vader,12,11,Heavyweight
Moise Rimbon,25,12,Middleweight
Yusuke Imamura,2,6,Heavyweight
Vesa Vuori,2,1,N/A
Sergey Kaznovsky,9,9,Heavyweight
Roman Zentsov,18,12,Heavyweight
Stanislav Nuschik,7,6,N/A
Vladimer Tchanturia,0,1,Heavyweight
Peter Verschuren,2,6,Heavyweight
Bobby Hoffman,36,10,Heavyweight
Yuriy Kochkine,7,4,N/A
Yasuhito Namekawa,25,16,Light Heavyweight
Can Sahinbas,5,4,N/A
Chris Watts,3,2,Heavyweight
Ricardo Fyeet,4,6,Heavyweight
Marcin Tybura,17,4,Heavyweight
Shamil Abdurakhimov,19,4,Heavyweight
Stefan Struve,29,11,Heavyweight
Derrick Lewis,21,7,Heavyweight
Fabricio Werdum,23,8,Heavyweight
Andrei Arlovski,27,18,Heavyweight
Luis Henrique Barbosa de Oliveira,11,5,Heavyweight
Viktor Pesta,13,5,Heavyweight
Timothy Johnson,12,5,Heavyweight
Ante Delija,15,3,Heavyweight
Stephan Puetz,16,4,Light Heavyweight
Denis Smoldarev,13,5,Heavyweight
Damian Grabowski,21,5,Heavyweight
Maro Perak,26,8,Light Heavyweight
Konstantin Gluhov,34,17,Heavyweight
Chaban Ka,8,5,Heavyweight
Denis Komkin,13,17,Heavyweight
Krystian Kopytowski,3,1,Heavyweight
Szymon Bajor,17,8,Heavyweight
Andrzej Kosecki,1,6,N/A
Stanislaw Slusakowicz,1,2,Heavyweight
Adam Wieczorek,10,2,Heavyweight
Robert Marcok,1,1,N/A
Andrei Arlovski,27,18,Heavyweight
Chase Sherman,12,6,Heavyweight
Derrick Lewis,21,7,Heavyweight
Walt Harris,12,7,Heavyweight
Anthony Hamilton,16,9,Heavyweight
Timothy Johnson,12,5,Heavyweight
Kenny Garner,17,10,Heavyweight
Neil Grove,12,8,Heavyweight
Jerry Otto,2,6,Super Heavyweight
Tony Lopez,61,30,Heavyweight
Marcos Oliveira,5,3,Heavyweight
Rameau Thierry Sokoudjou,19,18,Light Heavyweight
Jeff Monson,60,26,Heavyweight
Shamil Abdulmuslimov,11,4,Middleweight
Mikhail Rutskiv,0,6,N/A
Magomedbag Agaev,28,21,Heavyweight
Thiago      Santos,12,5,Heavyweight
Roman Savochka,24,19,Heavyweight
Roman Mirzoyan,1,2,Heavyweight
Vitalii Yalovenko,7,8,N/A
Ante Maljkovic,3,5,Heavyweight
Gabriel Garcia,3,3,Heavyweight
Vladimir Kuchenko,5,13,Super Heavyweight
Sergei Pavlovich,12,1,Heavyweight
Marcelo Golm,6,2,Heavyweight
Alistair Overeem,44,17,Heavyweight
Kirill Sidelnikov,11,6,Heavyweight
Mikhail Mokhnatkin,11,3,Heavyweight
Alexei Kudin,24,11,Heavyweight
Akhmedshaikh Gelegaev,5,1,Heavyweight
Chaban Ka,8,5,Heavyweight
Magomedbag Agaev,28,21,Heavyweight
Ruben Wolf,12,10,Heavyweight
